Mod,PP,Address,Name,Access,Description,Type,width,rdata,wdata,shadow,resetVal,reset,triggerCnt,latch,connect_to_port,implemented,ifdef,comment
ddrc,2,0x000,ddrc_reset_ctl,RW,DDR controller reset control,esr_ddrc_reset_ctl_t,,,,,`ESR_DDRC_RESET_CTL_RESET_VAL,NON-DEBUG,,NO,NO,YES,,
ddrc,2,0x001,ddrc_clock_ctl,RW,DDR controller clock control,esr_ddrc_clock_ctl_t,,esr_status_ddrc_clock_ctl,,,`ESR_DDRC_CLOCK_CTL_RESET_VAL,NON-DEBUG,,NO,NO,YES,,
ddrc,2,0x002,ddrc_main_ctl,RW,DDR controller main control,esr_ddrc_main_ctl_t,,,,,`ESR_DDRC_MAIN_CTL_RESET_VAL,NON-DEBUG,,NO,NO,YES,,
ddrc,2,0x003,ddrc_scrub1,RW,DDR controller sbr address start mask,,36,,,,'0,NON-DEBUG,,NO,NO,YES,,
ddrc,2,0x004,ddrc_scrub2,RW,DDR controller sbr address range mask,,36,,,,'0,NON-DEBUG,,NO,NO,YES,,
ddrc,2,0x005,ddrc_u0_mrr_data,RO,DDR controller U0 MRR data,,64,esr_status_ddrc_u0_mrr_data,,,,NON-DEBUG,,NO,NO,YES,,
ddrc,2,0x006,ddrc_u1_mrr_data,RO,DDR controller U1 MRR data,,64,esr_status_ddrc_u1_mrr_data,,,,NON-DEBUG,,NO,NO,YES,,
ddrc,2,0x007,ddrc_mrr_status,RW,DDR controller MRR status,MANUAL,,esr_status_ddrc_mrr_status,,,,NON-DEBUG,,NO,NO,YES,,
ddrc,2,0x008,ddrc_int_status,RO,DDR controller interrupt status,,16,esr_status_ddrc_int_status,,,,GLOBAL,,NO,NO,YES,,
ddrc,2,0x009,ddrc_int_critical_en,RW,DDR controller interrupt critical enable,,16,,,,`ESR_DDRC_INT_CRITICAL_EN_RESET_VAL,GLOBAL,,NO,NO,YES,,
ddrc,2,0x00A,ddrc_int_normal_en,RW,DDR controller interrupt normal enable,,16,,,,`ESR_DDRC_INT_NORMAL_EN_RESET_VAL,GLOBAL,,NO,NO,YES,,
ddrc,2,0x00B,ddrc_err_int_log,RW,DDR controller error int log,MANUAL,,esr_status_ddrc_err_int_log,,,,GLOBAL,,NO,NO,YES,,
ddrc,2,0x00C,ddrc_debug_sigs_mask0,RW,DDR controller debug sigs mask 0,,64,,,,'0,DEBUG,,NO,NO,YES,,
ddrc,2,0x00D,ddrc_debug_sigs_mask1,RW,DDR controller debug sigs mask 1,,64,,,,'0,DEBUG,,NO,NO,YES,,
ddrc,3,0x00E,ddrc_scratch,RW,DDR controller scratch register,,64,,,,'0,GLOBAL,,NO,NO,YES,,
ddrc,2,0x00F,ddrc_trace_ctl,RW,DDR controller debug control,esr_ddrc_trace_ctl_t,,,,,`ESR_DDRC_TRACE_CTL_RESET_VAL,DEBUG,,NO,NO,YES,,
ddrc,3,0x010,ddrc_perfmon_ctl_status,RW,DDR controller performance monitor control and status register,MANUAL,,esr_status_perfmon_ctl_status,,,,GLOBAL,,NO,NO,YES,,
ddrc,3,0x011,ddrc_perfmon_cyc_cntr,RW,DDR controller performance monitor cycle counter,MANUAL,,esr_status_perfmon_cyc_cntr,,,,GLOBAL,,NO,NO,YES,,
ddrc,3,0x012,ddrc_perfmon_p0_cntr,RW,DDR controller performance monitor p0 counter,MANUAL,,esr_status_perfmon_p0_cntr,,,,GLOBAL,,NO,NO,YES,,
ddrc,3,0x013,ddrc_perfmon_p1_cntr,RW,DDR controller performance monitor p1 counter,MANUAL,,esr_status_perfmon_p1_cntr,,,,GLOBAL,,NO,NO,YES,,
ddrc,3,0x014,ddrc_perfmon_p0_qual,RW,DDR controller performance monitor p0 qualifier,MANUAL,,esr_status_perfmon_p0_qual,,,,GLOBAL,,NO,NO,YES,,
ddrc,3,0x015,ddrc_perfmon_p1_qual,RW,DDR controller performance monitor p1 qualifier,MANUAL,,esr_status_perfmon_p1_qual,,,,GLOBAL,,NO,NO,YES,,
ddrc,3,0x016,ddrc_perfmon_p0_qual2,RW,DDR controller performance monitor p0 qualifier2,MANUAL,,esr_status_perfmon_p0_qual2,,,,GLOBAL,,NO,NO,YES,,
ddrc,3,0x017,ddrc_perfmon_p1_qual2,RW,DDR controller performance monitor p1 qualifier2,MANUAL,,esr_status_perfmon_p1_qual2,,,,GLOBAL,,NO,NO,YES,,
,,,,,,,,,,,,,,,,,,
SPIO ESRs,,,,,,,,,,,,,,,,,,
spio,2,0x002,spdmctrl,RW,Debug mode control ESR for service processor,esr_spdmctrl_t,,read_spdmctrl,,,'0,DEBUG,,NO,YES,YES,,
spio,2,0x003,sphastatus,RW,Debug mode control ESR for service processor,esr_sphastatus_t,,read_sphastatus,,,'0,DEBUG,,NO,NO,YES,,
