Address,Name,Privilege,Access,Description,shared,Type,width,rdata,sign_ext_rdata,wdata,shadow,resetVal,aon,reset,triggerCnt,latch,implemented,ifdef,trap_if,comment
0xB03,mhpmcounter3,machine,RW,Machine performance-monitoring counter,NO,MANUAL,,,,,,,,NON-DEBUG,,,YES,,,
0xB04,mhpmcounter4,machine,RW,Machine performance-monitoring counter,NO,MANUAL,,,,,,,,NON-DEBUG,,,YES,,,
0xB05,mhpmcounter5,machine,RW,Machine performance-monitoring counter,NO,MANUAL,,,,,,,,NON-DEBUG,,,YES,,,
0xB06,mhpmcounter6,machine,RW,Machine performance-monitoring counter,NO,MANUAL,,,,,,,,NON-DEBUG,,,YES,,,
0xB07,mhpmcounter7,machine,RW,Machine performance-monitoring counter,NO,MANUAL,,,,,,,,NON-DEBUG,,,YES,,,
0xB08,mhpmcounter8,machine,RW,Machine performance-monitoring counter,NO,MANUAL,,,,,,,,NON-DEBUG,,,YES,,,
Machine counter setup,,,,,,,,,,,,,,,,,,,,
0x323,mhpmevent3,machine,RW,Machine performance-monitoring event selector for Core,NO,,`CSR_NR_EVENTS_L,,,,,0,,NON-DEBUG,,YES,YES,,,
0x324,mhpmevent4,machine,RW,Machine performance-monitoring event selector for Core,NO,,`CSR_NR_EVENTS_L,,,,,0,,NON-DEBUG,,YES,YES,,,
0x325,mhpmevent5,machine,RW,Machine performance-monitoring event selector for Core,NO,,`CSR_NR_EVENTS_L,,,,,0,,NON-DEBUG,,YES,YES,,,
0x326,mhpmevent6,machine,RW,Machine performance-monitoring event selector for Core,NO,,`CSR_NR_EVENTS_L,,,,,0,,NON-DEBUG,,YES,YES,,,
0x327,mhpmevent7,machine,RW,Machine performance-monitoring event selector for Neigh,NO,,`CSR_NR_EVENTS_L,,,,,0,,NON-DEBUG,,NO,YES,,,
0x328,mhpmevent8,machine,RW,Machine performance-monitoring event selector for Neigh,NO,,`CSR_NR_EVENTS_L,,,,,0,,NON-DEBUG,,NO,YES,,,
Debug/Trace Registers (shared with Debug Mode),,,,,,,,,,,,,,,,,,,,
